player_a,player_b,team_2324,team_2425,min_2324,min_2425,chem_2324,chem_2425
Immanuel Quickley,Scottie Barnes,TOR,TOR,600.3,746.6,-3.1,-5.63
Georges Niang,Jarrett Allen,CLE,CLE,780.9,367.9,0.08,2.69
Kevon Looney,Jonathan Kuminga,GSW,GSW,418.2,415.1,3.59,6.2
P.J. Washington,Daniel Gafford,DAL,DAL,482.8,624.7,2.56,-0.06
CJ McCollum,Herbert Jones,NOP,NOP,1538.5,515.1,0.26,2.95
Malik Monk,Keon Ellis,SAC,SAC,374.1,831.4,2.69,-0.06
Stephen Curry,Draymond Green,GSW,GSW,1288.1,1419.1,-1.49,1.28
Zach LaVine,Patrick Williams,CHI,CHI,327.6,708.9,2.64,-0.13
LeBron James,Max Christie,LAL,LAL,408.8,651.6,-7.71,-4.83
Malik Monk,Keegan Murray,SAC,SAC,929.3,1393.5,2.06,4.95
Rudy Gobert,Naz Reid,MIN,MIN,916.9,947.8,5.65,8.55
Luke Kornet,Sam Hauser,BOS,BOS,631.6,645.3,7.18,10.11
Caris LeVert,Darius Garland,CLE,CLE,833.4,582.2,5.7,8.64
Al Horford,Payton Pritchard,BOS,BOS,671.2,771.6,8.13,5.19
Khris Middleton,Giannis Antetokounmpo,MIL,MIL,1042.9,341.5,2.65,-0.32
Rudy Gobert,Jaden McDaniels,MIN,MIN,1576.6,1778.7,4.97,1.99
Isaiah Joe,Cason Wallace,OKC,OKC,706.1,546.5,6.48,3.5
Goga Bitadze,Anthony Black,ORL,ORL,544.4,599.2,6.1,3.08
Rudy Gobert,Anthony Edwards,MIN,MIN,1921.9,1883.9,3.37,0.35
D'Angelo Russell,Rui Hachimura,LAL,LAL,1118.7,412.7,3.9,6.94
Aaron Gordon,Nikola Jokić,DEN,DEN,2001.3,1119.2,-3.2,-0.13
Duncan Robinson,Haywood Highsmith,MIA,MIA,573.6,905.6,3.86,6.94
Domantas Sabonis,Keegan Murray,SAC,SAC,2256.2,1728.0,-2.86,0.26
Cade Cunningham,Ausar Thompson,DET,DET,996.5,905.8,-5.9,-2.74
Scottie Barnes,Gradey Dick,TOR,TOR,339.3,807.5,-10.61,-7.4
Jerami Grant,Toumani Camara,POR,POR,815.8,1098.4,-1.45,-4.72
Harrison Barnes,De'Aaron Fox,SAC,SAS,1777.4,373.9,0.83,-2.49
Cole Anthony,Franz Wagner,ORL,ORL,883.5,466.4,5.93,9.25
Jarrett Allen,Darius Garland,CLE,CLE,1270.6,1996.9,-1.24,2.1
Andrew Nembhard,Tyrese Haliburton,IND,IND,1064.4,1486.8,1.97,5.38
Domantas Sabonis,De'Aaron Fox,SAC,SAC,1915.2,1126.3,-5.14,-1.71
Lauri Markkanen,Collin Sexton,UTA,UTA,1078.8,888.1,-5.68,-2.23
Mike Conley,Rudy Gobert,MIN,MIN,1805.3,1316.5,3.02,6.49
