player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Myles Turner,Pascal Siakam,IND,2024-25,5.44,0.03,0.444,2.2,0.9,-0.1,1.08,0.083,0.013,2.0,1.7,0.4,1.3,1547.0
Ivica Zubac,Derrick Jones Jr.,LAC,2024-25,5.43,0.032,0.352,3.3,0.1,1.5,2.55,0.077,0.032,0.0,3.1,-0.3,3.4,1388.4
Jaylen Brown,Derrick White,BOS,2024-25,5.41,0.087,0.477,2.3,1.2,0.4,-1.52,0.005,0.051,2.0,3.5,0.0,3.5,1648.1
Gary Harris,Franz Wagner,ORL,2023-24,5.4,0.136,0.364,3.2,0.8,1.4,2.04,0.093,0.012,7.0,1.2,-1.2,2.4,854.1
Myles Turner,Andrew Nembhard,IND,2023-24,5.38,0.073,0.395,2.6,0.4,-0.6,1.21,0.143,0.053,4.0,0.9,-2.2,3.1,1059.9
Andrew Nembhard,Tyrese Haliburton,IND,2024-25,5.38,0.047,0.373,8.3,0.1,0.5,15.95,0.159,0.071,0.0,5.8,-2.3,8.1,1486.8
Josh Hart,Jalen Brunson,NYK,2023-24,5.37,0.178,0.444,7.6,1.8,1.0,18.09,0.151,0.07,2.0,5.8,0.0,5.8,1762.6
DeMar DeRozan,Jevon Carter,CHI,2023-24,5.35,0.084,0.42,5.4,0.4,-1.0,6.24,0.091,0.099,6.0,1.8,-4.0,5.8,548.6
Alperen Şengün,Jabari Smith Jr.,HOU,2024-25,5.35,0.099,0.419,3.4,1.7,1.9,0.72,0.19,0.017,0.0,4.4,-0.7,5.1,1225.2
Clint Capela,De'Andre Hunter,ATL,2023-24,5.34,0.037,0.371,1.9,0.5,-2.5,-1.2,0.006,0.005,4.0,0.1,-2.4,2.5,917.1
Norman Powell,Ivica Zubac,LAC,2023-24,5.33,0.028,0.358,0.4,1.2,-1.2,-1.28,0.016,0.045,4.0,0.8,-0.8,1.6,629.9
Alex Caruso,Jalen Williams,OKC,2024-25,5.33,0.123,0.417,2.6,2.5,5.3,4.94,0.062,0.005,7.0,4.0,4.0,0.0,511.2
Jusuf Nurkić,Devin Booker,PHX,2023-24,5.32,0.102,0.476,5.0,3.1,1.1,15.5,0.113,0.052,2.0,3.0,1.1,1.9,1396.0
Tyus Jones,Oso Ighodaro,PHX,2024-25,5.31,0.057,0.263,4.3,1.6,-1.0,8.64,0.181,0.025,7.0,0.1,-2.6,2.7,529.1
Dean Wade,Evan Mobley,CLE,2024-25,5.25,0.125,0.327,4.1,0.3,2.7,3.52,0.076,0.07,4.0,4.6,0.3,4.3,581.9
Max Strus,Darius Garland,CLE,2024-25,5.24,0.122,0.408,2.8,1.0,-0.6,-4.23,0.152,0.007,4.0,3.1,1.3,1.8,920.7
Tim Hardaway Jr.,Malik Beasley,DET,2024-25,5.22,0.064,0.366,3.1,0.3,-2.1,0.64,0.015,0.023,5.0,0.8,-2.1,2.9,819.9
Harrison Barnes,Julian Champagnie,SAS,2024-25,5.21,0.007,0.321,2.0,0.8,-2.6,-2.04,0.007,0.079,9.0,0.0,-1.3,1.3,834.3
Al Horford,Payton Pritchard,BOS,2024-25,5.19,0.05,0.322,3.3,0.9,1.3,3.2,0.082,0.07,12.0,3.5,1.2,2.3,771.6
Norman Powell,Ivica Zubac,LAC,2024-25,5.15,0.063,0.447,0.6,1.0,0.6,-2.85,0.025,0.026,4.0,3.1,1.5,1.6,1615.3
Tim Hardaway Jr.,Dereck Lively II,DAL,2023-24,5.11,0.096,0.344,0.5,2.9,-1.3,1.43,0.034,0.186,12.0,0.5,-2.9,3.4,601.2
Ty Jerome,Sam Merrill,CLE,2024-25,5.07,0.089,0.369,3.9,0.1,1.5,2.97,0.142,0.06,2.0,4.3,0.3,4.0,650.4
Jae Crowder,Malik Beasley,MIL,2023-24,5.05,0.029,0.255,1.6,0.8,-0.8,-0.52,0.017,0.057,6.0,-1.8,-2.6,0.8,733.5
Jalen Green,Jabari Smith Jr.,HOU,2024-25,5.05,0.107,0.427,1.9,0.6,-0.4,1.44,0.111,0.018,1.0,0.5,-0.7,1.2,1186.6
Terry Rozier,Duncan Robinson,MIA,2024-25,5.05,0.008,0.382,1.9,0.1,-2.1,0.64,0.004,0.098,0.0,-1.7,-3.7,2.0,550.2
Stephen Curry,Moses Moody,GSW,2024-25,5.01,0.116,0.456,7.3,0.0,0.0,5.76,0.2,0.04,14.0,6.3,-0.9,7.2,816.5
Tyler Herro,Jaime Jaquez Jr.,MIA,2023-24,4.99,0.087,0.449,3.7,1.0,-0.4,5.5,0.081,0.016,1.0,0.8,-1.9,2.7,605.2
Duncan Robinson,Tyler Herro,MIA,2024-25,4.99,0.084,0.458,4.5,0.4,-1.8,-1.8,0.106,0.01,6.0,3.1,-1.7,4.8,953.4
Rudy Gobert,Jaden McDaniels,MIN,2023-24,4.97,0.004,0.308,3.4,1.0,2.4,-6.4,0.01,0.104,9.0,1.8,-2.6,4.4,1576.6
Malik Monk,Keegan Murray,SAC,2024-25,4.95,0.088,0.384,1.1,0.3,-1.9,-0.0,0.191,0.004,3.0,-0.8,-1.6,0.8,1393.5
Jaylen Brown,Sam Hauser,BOS,2023-24,4.93,0.137,0.429,0.3,0.1,-0.1,-1.2,0.103,0.049,1.0,1.2,0.7,0.5,681.8
Kris Dunn,Ivica Zubac,LAC,2024-25,4.92,0.066,0.318,5.1,2.6,4.2,9.3,0.032,0.11,3.0,3.1,0.6,2.5,1509.2
Paul George,Terance Mann,LAC,2023-24,4.9,0.129,0.399,3.7,0.9,-0.5,0.27,0.071,0.002,7.0,3.2,-1.5,4.7,1345.7
Scoot Henderson,Shaedon Sharpe,POR,2024-25,4.9,0.03,0.47,1.4,0.5,-2.1,0.78,0.136,0.011,1.0,-1.3,-2.2,0.9,893.0
Brook Lopez,Pat Connaughton,MIL,2023-24,4.88,0.05,0.262,1.8,0.8,0.8,-0.96,0.052,0.034,5.0,1.0,-1.6,2.6,673.5
Dyson Daniels,Jordan Hawkins,NOP,2023-24,4.88,0.065,0.311,0.6,4.2,0.8,1.76,0.073,0.004,1.0,0.6,-3.1,3.7,565.2
Kris Dunn,Derrick Jones Jr.,LAC,2024-25,4.88,0.034,0.286,1.8,2.7,4.1,-10.54,0.109,0.078,3.0,0.6,-0.3,0.9,722.3
Jalen Brunson,Precious Achiuwa,NYK,2023-24,4.87,0.153,0.469,8.2,0.9,0.1,16.08,0.227,0.047,3.0,5.8,-1.4,7.2,699.4
Jaren Jackson Jr.,Brandon Clarke,MEM,2024-25,4.87,0.124,0.424,1.6,0.0,1.6,0.64,0.03,0.047,3.0,2.3,0.8,1.5,626.0
Jarrett Allen,Max Strus,CLE,2023-24,4.86,0.024,0.358,3.2,0.4,1.4,1.92,0.038,0.111,2.0,3.0,-0.6,3.6,1594.1
Jrue Holiday,Derrick White,BOS,2024-25,4.86,0.039,0.351,3.0,0.2,1.8,2.47,0.025,0.041,5.0,3.5,0.7,2.8,1335.3
Draymond Green,Andrew Wiggins,GSW,2023-24,4.81,0.058,0.354,0.8,4.2,1.8,-0.72,0.189,0.043,5.0,2.4,-2.5,4.9,917.0
Christian Braun,Peyton Watson,DEN,2024-25,4.8,0.017,0.293,2.9,0.8,-0.2,3.12,0.023,0.101,2.0,0.3,-1.8,2.1,916.5
Klay Thompson,Dereck Lively II,DAL,2024-25,4.8,0.082,0.346,0.4,3.8,0.6,2.53,0.039,0.152,14.0,3.3,-1.0,4.3,506.9
Tim Hardaway Jr.,Maxi Kleber,DAL,2023-24,4.79,0.124,0.316,1.5,3.1,-1.1,4.29,0.005,0.031,0.0,-1.3,-2.9,1.6,570.0
Donovan Mitchell,Max Strus,CLE,2023-24,4.78,0.134,0.468,5.7,0.7,1.7,5.44,0.102,0.042,1.0,5.8,-0.6,6.4,1438.5
Malik Beasley,Simone Fontecchio,DET,2024-25,4.78,0.063,0.367,4.2,0.5,-1.9,4.8,0.018,0.046,1.0,0.8,-2.9,3.7,914.2
Julian Champagnie,Jeremy Sochan,SAS,2024-25,4.73,0.02,0.348,0.5,0.5,-1.3,0.24,0.06,0.012,2.0,-1.2,-1.3,0.1,603.3
OG Anunoby,Mikal Bridges,NYK,2024-25,4.65,0.003,0.387,0.3,1.0,-0.8,-0.78,0.057,0.006,1.0,0.7,-0.5,1.2,2187.2
Kyrie Irving,P.J. Washington,DAL,2024-25,4.62,0.066,0.462,5.0,0.7,-0.3,5.72,0.1,0.038,7.0,3.4,-0.9,4.3,964.4
Buddy Hield,Jonathan Kuminga,GSW,2024-25,4.6,0.075,0.467,0.2,0.2,-0.4,-0.16,0.045,0.025,10.0,-0.6,-1.0,0.4,687.8
Klay Thompson,P.J. Washington,DAL,2024-25,4.58,0.016,0.412,1.8,1.8,-1.4,2.99,0.006,0.004,9.0,-0.9,-1.0,0.1,1038.9
Fred VanVleet,Amen Thompson,HOU,2023-24,4.57,0.021,0.367,2.7,1.1,2.7,3.6,0.147,0.008,9.0,3.4,1.8,1.6,629.0
DeMar DeRozan,Keegan Murray,SAC,2024-25,4.57,0.096,0.392,2.0,0.4,-2.0,-0.0,0.127,0.016,11.0,-0.1,-1.6,1.5,1955.6
Pascal Siakam,Aaron Nesmith,IND,2023-24,4.55,0.092,0.408,3.3,0.3,-0.7,0.35,0.122,0.03,6.0,2.5,-0.5,3.0,857.5
Kristaps Porziņģis,Sam Hauser,BOS,2023-24,4.53,0.101,0.393,2.3,1.6,1.6,-2.28,0.036,0.018,2.0,5.1,1.2,3.9,500.8
Darius Garland,Evan Mobley,CLE,2024-25,4.53,0.039,0.491,0.8,2.3,0.7,-7.52,0.16,0.033,1.0,4.6,3.1,1.5,1177.8
Tyus Jones,Ryan Dunn,PHX,2024-25,4.53,0.001,0.321,4.3,0.1,-2.5,4.59,0.217,0.068,7.0,0.1,-4.1,4.2,721.6
Trey Lyles,Domantas Sabonis,SAC,2023-24,4.51,0.081,0.359,4.4,3.1,1.7,-0.48,0.255,0.041,0.0,6.5,-1.1,7.6,561.6
Russell Westbrook,Christian Braun,DEN,2024-25,4.5,0.075,0.385,1.7,0.3,-0.7,0.91,0.193,0.133,12.0,0.3,-1.1,1.4,1259.8
Jerami Grant,Scoot Henderson,POR,2024-25,4.49,0.028,0.412,0.0,0.5,-1.1,-0.66,0.175,0.017,10.0,-1.6,-2.2,0.6,627.1
Jamal Murray,Peyton Watson,DEN,2024-25,4.48,0.097,0.373,3.9,1.3,-0.7,6.72,0.15,0.02,6.0,0.8,-1.8,2.6,910.1
Rui Hachimura,Austin Reaves,LAL,2024-25,4.47,0.074,0.386,2.5,0.1,-1.1,-1.45,0.178,0.003,0.0,1.9,-0.7,2.6,1387.8
Myles Turner,Obi Toppin,IND,2023-24,4.44,0.074,0.394,0.8,0.2,-0.4,-2.31,0.026,0.051,2.0,1.5,0.9,0.6,722.7
Tim Hardaway Jr.,Ausar Thompson,DET,2024-25,4.44,0.034,0.336,0.3,3.4,1.6,-0.66,0.065,0.001,11.0,1.7,-2.1,3.8,962.7
T.J. McConnell,Bennedict Mathurin,IND,2024-25,4.44,0.004,0.448,1.9,2.1,-0.9,-0.0,0.269,0.032,10.0,1.2,-2.9,4.1,682.8
Naz Reid,Anthony Edwards,MIN,2023-24,4.41,0.091,0.537,2.3,0.6,1.6,1.54,0.156,0.02,2.0,3.3,1.5,1.8,1234.7
DeMar DeRozan,Keon Ellis,SAC,2024-25,4.41,0.119,0.369,1.3,3.2,0.8,5.04,0.102,0.095,10.0,1.9,-0.1,2.0,1290.4
Jonathan Isaac,Moritz Wagner,ORL,2023-24,4.4,0.06,0.38,0.3,2.1,2.7,1.4,0.062,0.066,1.0,3.8,2.0,1.8,597.6
Caleb Martin,Tyler Herro,MIA,2023-24,4.37,0.1,0.436,3.7,0.9,-0.5,5.28,0.1,0.027,4.0,0.8,-2.0,2.8,575.9
Kevin Durant,Jusuf Nurkić,PHX,2023-24,4.34,0.096,0.47,5.0,2.0,2.2,12.09,0.027,0.067,6.0,4.0,1.1,2.9,1652.8
Tre Jones,Jeremy Sochan,SAS,2023-24,4.34,0.038,0.336,2.4,0.7,-0.5,-1.1,0.137,0.078,3.0,-0.4,-3.4,3.0,1157.4
Day'Ron Sharpe,Tyrese Martin,BKN,2024-25,4.34,0.007,0.365,1.4,2.1,-0.3,-0.18,0.008,0.035,3.0,0.9,-2.6,3.5,544.8
Rudy Gobert,Karl-Anthony Towns,MIN,2023-24,4.33,0.116,0.42,1.5,0.8,2.6,1.12,0.09,0.05,4.0,2.5,1.8,0.7,1278.6
Fred VanVleet,Dillon Brooks,HOU,2024-25,4.33,0.0,0.352,1.0,1.3,1.3,-2.38,0.141,0.04,2.0,0.9,-1.4,2.3,1516.4
Cameron Payne,Josh Hart,NYK,2024-25,4.32,0.049,0.351,1.2,2.0,1.6,0.07,0.045,0.079,0.0,2.8,-0.2,3.0,596.2
Al Horford,Jayson Tatum,BOS,2024-25,4.3,0.165,0.437,4.3,0.3,1.9,3.6,0.164,0.019,12.0,5.2,1.2,4.0,1188.9
Isaiah Hartenstein,Cason Wallace,OKC,2024-25,4.3,0.041,0.289,2.1,0.0,5.2,-8.2,0.061,0.037,6.0,3.2,1.0,2.2,796.6
Rui Hachimura,Austin Reaves,LAL,2023-24,4.27,0.016,0.38,0.9,0.5,-1.3,-1.17,0.176,0.015,0.0,0.4,-0.9,1.3,1414.8
Georges Niang,Sam Merrill,CLE,2023-24,4.22,0.003,0.343,3.8,0.4,-1.2,4.41,0.074,0.015,3.0,0.5,-2.9,3.4,686.5
Gary Harris,Jalen Suggs,ORL,2023-24,4.21,0.077,0.305,1.7,0.5,2.7,-7.48,0.057,0.015,6.0,1.0,-1.2,2.2,574.9
Jalen Brunson,Miles McBride,NYK,2024-25,4.18,0.127,0.451,5.1,1.7,-0.9,4.8,0.163,0.074,4.0,3.3,0.0,3.3,693.4
Nickeil Alexander-Walker,Anthony Edwards,MIN,2023-24,4.16,0.171,0.457,3.8,0.8,1.8,5.28,0.096,0.003,3.0,3.3,0.2,3.1,1196.1
Jonas Valančiūnas,Herbert Jones,NOP,2023-24,4.15,0.066,0.348,1.6,1.0,2.0,0.48,0.016,0.017,7.0,1.2,0.6,0.6,1346.4
James Harden,Kris Dunn,LAC,2024-25,4.14,0.16,0.412,6.3,2.6,4.2,16.74,0.212,0.051,4.0,4.3,0.6,3.7,1459.9
Brook Lopez,Andre Jackson Jr.,MIL,2024-25,4.13,0.042,0.272,4.0,0.2,0.6,0.0,0.031,0.07,14.0,0.8,-3.4,4.2,691.6
Jarrett Allen,Ty Jerome,CLE,2024-25,4.13,0.073,0.385,0.5,0.4,2.0,-4.86,0.15,0.081,0.0,4.3,4.2,0.1,570.1
Nikola Vučević,Lonzo Ball,CHI,2024-25,4.13,0.069,0.373,4.0,1.6,1.8,7.68,0.022,0.087,7.0,2.6,0.2,2.4,540.0
Luke Kornet,Payton Pritchard,BOS,2024-25,4.1,0.075,0.297,1.8,1.5,1.9,0.32,0.069,0.05,2.0,3.5,3.3,0.2,986.3
Julius Randle,Nickeil Alexander-Walker,MIN,2024-25,4.08,0.091,0.401,2.3,0.6,0.2,2.04,0.079,0.014,4.0,1.3,-0.4,1.7,945.2
Max Strus,Isaac Okoro,CLE,2023-24,4.06,0.031,0.303,0.7,0.2,1.2,-4.0,0.071,0.046,5.0,-0.6,-1.1,0.5,876.4
Georges Niang,Donovan Mitchell,CLE,2023-24,4.04,0.128,0.474,7.1,1.6,0.8,7.14,0.193,0.012,4.0,5.8,-2.9,8.7,588.0
Al Horford,Jaylen Brown,BOS,2023-24,4.03,0.164,0.402,0.8,2.1,1.9,0.3,0.041,0.07,11.0,3.6,0.7,2.9,1060.8
Donovan Mitchell,Darius Garland,CLE,2024-25,4.03,0.033,0.563,0.1,0.6,-1.0,-18.8,0.071,0.025,3.0,3.7,3.1,0.6,1130.7
Buddy Hield,Brandin Podziemski,GSW,2024-25,4.03,0.019,0.373,0.6,1.1,0.5,-0.36,0.088,0.003,10.0,0.7,-1.0,1.7,656.4
Kyle Anderson,Anthony Edwards,MIN,2023-24,4.0,0.174,0.454,4.3,2.2,3.2,9.46,0.023,0.062,8.0,3.3,1.1,2.2,1137.3
Kyrie Irving,Josh Green,DAL,2023-24,3.99,0.145,0.403,7.2,0.4,-0.2,9.87,0.114,0.02,9.0,4.9,-2.7,7.6,783.6
De'Andre Hunter,Saddiq Bey,ATL,2023-24,3.96,0.041,0.367,1.0,0.5,-3.5,-1.26,0.015,0.046,1.0,-1.8,-2.4,0.6,592.3
Donte DiVincenzo,Naz Reid,MIN,2024-25,3.95,0.022,0.398,0.0,0.3,1.9,0.0,0.08,0.005,3.0,1.9,1.6,0.3,1146.9
Deandre Ayton,Scoot Henderson,POR,2024-25,3.94,0.023,0.417,1.1,0.4,-1.2,0.06,0.191,0.043,5.0,-0.7,-2.2,1.5,554.3
Taurean Prince,Kyle Kuzma,MIL,2024-25,3.92,0.11,0.356,0.9,2.1,-1.5,-2.53,0.03,0.099,2.0,-1.7,-4.7,3.0,618.1
Mike Conley,Jaden McDaniels,MIN,2024-25,3.91,0.019,0.301,1.3,0.1,2.7,-3.92,0.152,0.011,13.0,1.2,0.0,1.2,1324.5
D'Angelo Russell,Rui Hachimura,LAL,2023-24,3.9,0.04,0.404,1.7,0.1,-1.7,-2.25,0.2,0.04,2.0,0.9,-0.9,1.8,1118.7
Jrue Holiday,Jaylen Brown,BOS,2023-24,3.89,0.122,0.444,0.1,1.2,1.0,0.1,0.031,0.017,7.0,2.1,0.7,1.4,1478.4
Isaiah Hartenstein,Jalen Williams,OKC,2024-25,3.88,0.105,0.435,2.1,1.2,4.0,2.6,0.055,0.026,3.0,4.0,3.2,0.8,1203.8
Day'Ron Sharpe,Jalen Wilson,BKN,2024-25,3.88,0.025,0.347,2.6,2.2,-0.4,-1.17,0.048,0.027,1.0,0.9,-3.9,4.8,543.6
De'Aaron Fox,Kevin Huerter,SAC,2023-24,3.87,0.127,0.473,3.1,0.5,-0.3,0.25,0.106,0.003,1.0,2.7,-0.8,3.5,1080.7
Duncan Robinson,Haywood Highsmith,MIA,2023-24,3.86,0.063,0.305,1.3,1.5,0.7,-0.29,0.077,0.025,3.0,-0.7,-0.9,0.2,573.6
Devin Vassell,Tre Jones,SAS,2023-24,3.85,0.08,0.378,1.3,1.0,-0.8,0.9,0.106,0.013,1.0,0.0,-0.4,0.4,1308.1
Al Horford,Jayson Tatum,BOS,2023-24,3.84,0.177,0.415,2.8,1.4,2.6,1.17,0.087,0.046,12.0,5.1,3.6,1.5,1301.2
Michael Porter Jr.,Christian Braun,DEN,2023-24,3.84,0.05,0.354,2.9,1.0,-1.4,3.6,0.045,0.047,3.0,0.1,-1.9,2.0,541.0
Karl-Anthony Towns,Mikal Bridges,NYK,2024-25,3.81,0.073,0.457,3.1,1.0,-0.8,-4.42,0.011,0.045,1.0,3.6,-0.5,4.1,2027.4
Jaylen Brown,Payton Pritchard,BOS,2024-25,3.81,0.096,0.468,3.0,0.6,-0.2,-2.56,0.02,0.078,1.0,3.5,0.0,3.5,906.0
Caris LeVert,Sam Merrill,CLE,2023-24,3.8,0.054,0.394,1.9,1.6,0.0,2.94,0.109,0.074,1.0,0.5,0.2,0.3,522.1
Draymond Green,Brandin Podziemski,GSW,2024-25,3.75,0.02,0.334,2.2,2.0,3.6,-4.59,0.061,0.023,13.0,0.7,0.5,0.2,902.2
Klay Thompson,Jonathan Kuminga,GSW,2023-24,3.73,0.003,0.471,1.1,1.1,-1.9,-1.04,0.013,0.022,13.0,-0.4,-0.4,0.0,1081.2
Chris Paul,Klay Thompson,GSW,2023-24,3.71,0.08,0.388,1.3,2.7,-0.3,3.64,0.232,0.032,5.0,1.0,-0.4,1.4,902.2
Karl-Anthony Towns,Anthony Edwards,MIN,2023-24,3.7,0.046,0.582,1.1,0.4,1.4,-1.54,0.094,0.05,6.0,3.3,2.5,0.8,1486.1
James Harden,Norman Powell,LAC,2024-25,3.7,0.031,0.541,1.8,1.0,0.6,-5.13,0.269,0.033,3.0,4.3,1.5,2.8,1565.8
Mike Conley,Julius Randle,MIN,2024-25,3.7,0.105,0.387,1.6,1.5,1.1,2.38,0.015,0.02,7.0,1.3,1.2,0.1,1091.6
Jaylen Brown,Payton Pritchard,BOS,2023-24,3.69,0.115,0.451,0.4,0.1,-0.3,-1.5,0.043,0.017,1.0,1.0,0.7,0.3,606.0
James Harden,Daniel Theis,LAC,2023-24,3.69,0.052,0.352,5.4,0.2,0.4,5.95,0.257,0.015,2.0,4.1,-1.5,5.6,503.7
Dillon Brooks,Jalen Green,HOU,2024-25,3.69,0.091,0.443,2.5,0.5,-0.5,2.24,0.083,0.011,6.0,0.5,-1.4,1.9,1942.1
Jrue Holiday,Derrick White,BOS,2023-24,3.65,0.022,0.344,1.4,0.3,2.5,0.1,0.013,0.014,5.0,3.8,2.1,1.7,1401.9
Caris LeVert,Donovan Mitchell,CLE,2023-24,3.65,0.077,0.525,5.2,0.4,2.0,4.76,0.01,0.071,2.0,5.8,0.2,5.6,791.1
Nikola Jokić,Christian Braun,DEN,2023-24,3.65,0.136,0.44,10.7,4.4,4.0,7.2,0.282,0.096,6.0,13.2,-1.9,15.1,780.3
Ivica Zubac,Amir Coffey,LAC,2024-25,3.62,0.042,0.342,3.8,1.0,0.6,1.95,0.056,0.027,0.0,3.1,-1.7,4.8,926.7
Andre Drummond,Alex Caruso,CHI,2023-24,3.6,0.055,0.347,0.6,3.0,1.6,3.15,0.126,0.037,0.0,2.5,0.1,2.4,627.5
LeBron James,Dorian Finney-Smith,LAL,2024-25,3.6,0.168,0.414,6.5,0.6,0.8,7.14,0.329,0.0,8.0,5.6,-1.5,7.1,773.4
Caris LeVert,Georges Niang,CLE,2023-24,3.59,0.051,0.397,1.9,1.2,0.4,-2.94,0.183,0.059,2.0,0.2,-2.9,3.1,1132.3
Maxi Kleber,Luka Dončić,DAL,2023-24,3.59,0.259,0.451,10.6,0.7,2.7,21.78,0.329,0.044,7.0,9.9,-1.3,11.2,618.3
Kawhi Leonard,Norman Powell,LAC,2023-24,3.56,0.068,0.454,4.4,1.8,-0.6,-6.72,0.106,0.0,2.0,5.5,-0.8,6.3,929.3
Tyler Herro,Davion Mitchell,MIA,2024-25,3.56,0.136,0.406,5.3,1.5,0.1,10.35,0.017,0.032,1.0,3.1,-0.6,3.7,641.7
Harrison Barnes,Keegan Murray,SAC,2023-24,3.55,0.024,0.332,0.2,0.7,-1.7,-0.06,0.012,0.042,9.0,-0.9,-1.8,0.9,1753.0
Paul George,Kawhi Leonard,LAC,2023-24,3.52,0.003,0.525,1.9,0.4,0.8,-11.34,0.008,0.013,1.0,5.5,3.2,2.3,1634.7
Kevon Looney,Brandin Podziemski,GSW,2023-24,3.52,0.039,0.259,0.3,1.0,1.8,-1.98,0.028,0.08,7.0,0.6,-0.1,0.7,549.0
Jrue Holiday,Jayson Tatum,BOS,2024-25,3.51,0.145,0.457,4.7,0.2,1.8,4.68,0.092,0.017,8.0,5.2,0.7,4.5,1423.6
Isaiah Joe,Cason Wallace,OKC,2024-25,3.5,0.042,0.29,2.9,2.7,2.5,6.15,0.021,0.055,4.0,1.3,1.0,0.3,546.5
Isaiah Joe,Jalen Williams,OKC,2024-25,3.48,0.104,0.436,1.3,1.5,1.3,-1.95,0.137,0.044,1.0,4.0,1.3,2.7,661.7
Donovan Mitchell,Evan Mobley,CLE,2024-25,3.46,0.072,0.524,0.7,1.7,1.3,-6.4,0.089,0.058,4.0,4.6,3.7,0.9,1718.2
Stephen Curry,Jonathan Kuminga,GSW,2024-25,3.46,0.015,0.557,6.9,0.1,-0.1,2.56,0.133,0.083,15.0,6.3,-0.6,6.9,544.7
Dillon Brooks,Alperen Şengün,HOU,2024-25,3.45,0.083,0.435,4.0,1.8,1.8,1.12,0.162,0.01,7.0,4.4,-1.4,5.8,1749.2
Donovan Mitchell,Ty Jerome,CLE,2024-25,3.45,0.069,0.527,0.3,1.0,0.6,-10.8,0.003,0.068,1.0,4.3,3.7,0.6,624.8
Clint Capela,Bogdan Bogdanović,ATL,2023-24,3.43,0.051,0.385,0.1,0.3,-1.7,-3.2,0.08,0.021,1.0,0.2,0.1,0.1,977.8
Kawhi Leonard,Kris Dunn,LAC,2024-25,3.43,0.154,0.406,5.3,2.8,4.0,11.78,0.006,0.058,3.0,3.1,0.6,2.5,585.3
Russell Westbrook,Paul George,LAC,2023-24,3.41,0.025,0.503,3.1,0.5,0.9,2.43,0.128,0.099,1.0,3.2,0.5,2.7,857.6
Joel Embiid,De'Anthony Melton,PHI,2023-24,3.41,0.21,0.564,9.2,1.9,4.3,10.26,0.171,0.111,4.0,11.6,0.5,11.1,643.9
Tobias Harris,Tim Hardaway Jr.,DET,2024-25,3.41,0.022,0.324,0.6,1.5,-0.3,-0.22,0.021,0.004,1.0,0.1,-2.1,2.2,1563.9
Fred VanVleet,Jae'Sean Tate,HOU,2023-24,3.4,0.079,0.309,6.3,0.7,2.3,9.36,0.227,0.03,2.0,3.4,-2.3,5.7,618.8
Karl-Anthony Towns,Naz Reid,MIN,2023-24,3.39,0.045,0.491,1.2,0.2,2.0,0.49,0.062,0.03,4.0,2.5,1.5,1.0,668.8
Kyle Anderson,Naz Reid,MIN,2023-24,3.38,0.083,0.363,2.0,1.6,3.8,-3.01,0.179,0.082,6.0,1.5,1.1,0.4,1116.3
Isaiah Hartenstein,Miles McBride,NYK,2023-24,3.38,0.048,0.28,1.1,2.4,3.2,-1.68,0.004,0.08,3.0,3.5,-0.1,3.6,559.4
Rudy Gobert,Anthony Edwards,MIN,2023-24,3.37,0.162,0.466,2.6,1.2,2.2,3.52,0.184,0.1,10.0,3.3,1.8,1.5,1921.9
Kyrie Irving,Tim Hardaway Jr.,DAL,2023-24,3.37,0.054,0.494,5.6,2.2,-2.0,-6.11,0.131,0.066,0.0,4.9,-2.9,7.8,948.3
Aaron Wiggins,Jalen Williams,OKC,2024-25,3.37,0.07,0.47,1.4,1.6,1.2,-1.95,0.131,0.023,2.0,4.0,1.1,2.9,873.2
Jarrett Allen,Evan Mobley,CLE,2024-25,3.36,0.07,0.382,0.1,0.3,2.7,-2.88,0.058,0.091,3.0,4.6,4.2,0.4,1034.4
Harrison Barnes,Kevin Huerter,SAC,2023-24,3.35,0.019,0.327,0.1,0.8,-1.6,0.06,0.082,0.047,7.0,-0.8,-1.8,1.0,1211.7
Royce O'Neale,Grayson Allen,PHX,2024-25,3.35,0.018,0.32,0.5,0.9,-1.1,-0.51,0.003,0.046,3.0,0.1,-0.3,0.4,654.6
Brandon Clarke,Jaylen Wells,MEM,2024-25,3.35,0.006,0.306,1.2,1.8,-0.2,-0.16,0.01,0.078,7.0,0.8,-2.2,3.0,640.7
Donovan Mitchell,Jarrett Allen,CLE,2024-25,3.34,0.142,0.454,0.8,1.4,1.0,-7.2,0.147,0.149,1.0,4.2,3.7,0.5,1217.6
Kevin Huerter,Keegan Murray,SAC,2023-24,3.28,0.005,0.351,0.1,0.1,-0.9,0.01,0.07,0.005,2.0,-0.8,-0.9,0.1,1062.6
Reggie Jackson,Christian Braun,DEN,2023-24,3.28,0.057,0.361,0.1,1.3,-1.7,-0.45,0.131,0.033,11.0,-1.9,-3.2,1.3,947.2
Jalen Green,Amen Thompson,HOU,2023-24,3.27,0.097,0.443,0.5,2.8,1.0,2.6,0.005,0.035,1.0,1.8,-0.5,2.3,745.2
Georges Niang,Evan Mobley,CLE,2023-24,3.26,0.027,0.373,3.4,2.4,1.6,-2.31,0.08,0.043,8.0,2.9,-2.9,5.8,545.1
