player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Larry Nance Jr.,Trey Murphy III,NOP,2023-24,42,24,18,598.3,92.0,7.38,2.0,-0.2,2.2,2.5,2.5,0.0,4.5,2.88
Brook Lopez,Gary Trent Jr.,MIL,2024-25,72,43,29,1086.9,47.0,2.08,0.8,0.4,0.4,-1.6,-1.2,-0.4,-0.8,2.88
Bruce Brown,Obi Toppin,IND,2023-24,32,18,14,555.5,24.0,2.07,-2.3,-1.7,-0.5,1.5,1.8,-0.3,-0.8,2.87
Kentavious Caldwell-Pope,Goga Bitadze,ORL,2024-25,57,32,25,954.6,79.0,3.97,-1.4,-3.0,1.6,2.5,-0.3,2.8,1.1,2.87
Naz Reid,Jaden McDaniels,MIN,2024-25,80,47,33,1168.2,108.0,4.44,1.6,0.8,0.8,0.0,-1.4,1.4,1.6,2.84
Brook Lopez,Kyle Kuzma,MIL,2024-25,32,20,12,674.1,-15.0,-1.07,0.8,0.4,0.4,-4.7,-2.9,-1.8,-3.9,2.83
Al Horford,Jrue Holiday,BOS,2023-24,57,45,12,1009.5,179.0,8.51,3.6,1.7,2.0,2.1,1.0,1.1,5.7,2.81
Bam Adebayo,Davion Mitchell,MIA,2024-25,27,9,18,604.4,53.0,4.21,2.0,1.0,1.0,-0.6,-1.5,0.8,1.4,2.81
CJ McCollum,Trey Murphy III,NOP,2023-24,55,34,21,1001.1,175.0,8.39,3.1,3.3,-0.3,2.5,2.5,0.0,5.6,2.79
Trae Young,Jalen Johnson,ATL,2024-25,34,17,17,923.6,98.0,5.09,0.5,3.3,-2.7,1.8,0.5,1.4,2.3,2.79
Jalen Green,Jae'Sean Tate,HOU,2023-24,60,31,29,533.8,-1.0,-0.09,-0.5,0.4,-0.9,-2.3,-3.7,1.5,-2.8,2.71
Kelly Oubre Jr.,Guerschon Yabusele,PHI,2024-25,54,21,33,1055.0,-13.0,-0.59,-2.3,-1.7,-0.6,-1.0,0.1,-1.1,-3.3,2.71
Damian Lillard,Bobby Portis,MIL,2023-24,73,48,25,1061.6,88.0,3.98,2.1,3.4,-1.3,-0.8,0.0,-0.8,1.3,2.68
Tobias Harris,Tyrese Maxey,PHI,2023-24,59,37,22,1727.4,240.0,6.67,0.9,1.0,-0.1,3.1,4.1,-1.0,4.0,2.67
Khris Middleton,Giannis Antetokounmpo,MIL,2023-24,48,29,19,1042.9,277.0,12.75,1.1,1.1,0.0,9.0,6.7,2.4,10.1,2.65
Anfernee Simons,Donovan Clingan,POR,2024-25,57,23,34,710.2,33.0,2.23,-0.1,1.5,-1.5,-0.3,-1.7,1.4,-0.4,2.63
Jaylen Brown,Jayson Tatum,BOS,2023-24,64,47,17,1577.1,276.0,8.4,0.7,0.9,-0.1,5.1,4.5,0.6,5.8,2.6
Jonas Valančiūnas,Trey Murphy III,NOP,2023-24,57,35,22,708.1,93.0,6.3,1.2,0.7,0.5,2.5,2.5,0.0,3.7,2.6
Nikola Vučević,Patrick Williams,CHI,2023-24,38,17,21,741.8,6.0,0.39,0.1,0.8,-0.7,-2.3,-2.1,-0.1,-2.2,2.59
Tre Jones,Malaki Branham,SAS,2023-24,60,14,46,531.6,-38.0,-3.43,-0.4,-0.4,0.1,-5.6,-3.4,-2.2,-6.0,2.57
Scotty Pippen Jr.,Jaylen Wells,MEM,2024-25,66,39,27,656.3,31.0,2.27,1.9,0.0,1.8,-2.2,-1.2,-1.0,-0.3,2.57
Davion Mitchell,Kel'el Ware,MIA,2024-25,28,10,18,512.6,20.0,1.87,-0.6,-1.5,0.8,-0.1,-0.7,0.6,-0.7,2.57
De'Aaron Fox,Malik Monk,SAC,2024-25,37,19,18,810.5,50.0,2.96,1.2,2.0,-0.8,-0.8,0.3,-1.1,0.4,2.56
Buddy Hield,Tyrese Haliburton,IND,2023-24,38,21,17,646.8,130.0,9.65,0.2,1.0,-0.8,6.9,7.3,-0.4,7.1,2.55
James Harden,Derrick Jones Jr.,LAC,2024-25,74,48,26,1559.9,213.0,6.55,4.3,3.5,0.8,-0.3,-1.0,0.7,4.0,2.55
Spencer Dinwiddie,P.J. Washington,DAL,2024-25,53,28,25,974.1,1.0,0.05,-1.6,-0.9,-0.7,-0.9,-1.1,0.2,-2.5,2.55
De'Aaron Fox,Keegan Murray,SAC,2023-24,69,39,30,1824.4,165.0,4.34,2.7,2.6,0.1,-0.9,-0.4,-0.5,1.8,2.54
Chet Holmgren,Jalen Williams,OKC,2023-24,71,51,20,1762.2,302.0,8.23,3.4,1.8,1.5,2.3,2.0,0.3,5.7,2.53
Brook Lopez,Khris Middleton,MIL,2023-24,53,30,23,1148.3,110.0,4.6,1.0,0.2,0.8,1.1,1.1,0.0,2.1,2.5
James Harden,Ivica Zubac,LAC,2024-25,78,50,28,2185.9,451.0,9.9,4.3,3.5,0.8,3.1,2.3,0.8,7.4,2.5
Mason Plumlee,Grayson Allen,PHX,2024-25,57,27,30,636.5,21.0,1.58,-0.6,-1.5,1.0,-0.3,0.7,-1.0,-0.9,2.48
Bradley Beal,Devin Booker,PHX,2023-24,45,29,16,1111.3,136.0,5.87,0.4,0.9,-0.6,3.0,4.0,-1.0,3.4,2.47
Nickeil Alexander-Walker,Anthony Edwards,MIN,2024-25,79,48,31,1197.5,159.0,6.37,-0.4,-0.8,0.4,4.3,4.4,0.0,3.9,2.47
Jonas Valančiūnas,Dyson Daniels,NOP,2023-24,59,32,27,621.5,55.0,4.25,1.2,0.7,0.5,0.6,-1.9,2.5,1.8,2.45
Alperen Şengün,Amen Thompson,HOU,2024-25,66,43,23,1315.5,300.0,10.95,4.4,2.6,1.8,4.1,1.4,2.6,8.5,2.45
Dalano Banton,Shaedon Sharpe,POR,2024-25,55,23,32,572.0,4.0,0.34,-0.8,-0.6,-0.2,-1.3,0.0,-1.3,-2.1,2.44
Gary Harris,Wendell Carter Jr.,ORL,2023-24,39,24,15,585.5,26.0,2.13,-1.2,-2.3,1.1,0.9,0.5,0.4,-0.3,2.43
Anthony Edwards,Jaden McDaniels,MIN,2023-24,71,48,23,1713.2,111.0,3.11,3.3,2.7,0.5,-2.6,-3.3,0.7,0.7,2.41
Josh Hart,Precious Achiuwa,NYK,2023-24,45,29,16,908.3,19.0,1.0,0.0,-1.3,1.4,-1.4,-1.9,0.5,-1.4,2.4
Derrick White,Payton Pritchard,BOS,2024-25,74,56,18,1108.5,217.0,9.4,3.5,2.7,0.8,3.5,3.4,0.2,7.0,2.4
Malik Beasley,Cade Cunningham,DET,2024-25,70,38,32,1228.1,181.0,7.07,0.8,2.0,-1.2,3.9,3.8,0.1,4.7,2.37
Anfernee Simons,Scoot Henderson,POR,2024-25,60,25,35,806.2,1.0,0.06,-0.1,1.5,-1.5,-2.2,-1.4,-0.8,-2.3,2.36
Luke Kennard,Jaren Jackson Jr.,MEM,2024-25,62,35,27,800.5,96.0,5.76,1.1,0.9,0.2,2.3,1.6,0.8,3.4,2.36
Trey Lyles,Malik Monk,SAC,2024-25,52,30,22,556.7,10.0,0.86,-0.7,-0.4,-0.3,-0.8,0.3,-1.1,-1.5,2.36
RJ Barrett,Davion Mitchell,TOR,2024-25,37,13,24,673.6,-19.0,-1.35,0.6,1.2,-0.7,-4.3,-4.0,-0.3,-3.7,2.35
LeBron James,Rui Hachimura,LAL,2023-24,57,34,23,1034.1,171.0,7.94,6.5,5.5,0.9,-0.9,0.0,-0.9,5.6,2.34
Jalen Green,Aaron Holiday,HOU,2023-24,70,35,35,577.6,4.0,0.33,-0.5,0.4,-0.9,-1.5,-1.8,0.3,-2.0,2.33
Goga Bitadze,Jalen Suggs,ORL,2024-25,27,17,10,514.8,56.0,5.22,2.5,-0.3,2.8,0.4,-0.8,1.3,2.9,2.32
Mason Plumlee,Tyus Jones,PHX,2024-25,71,33,38,688.1,26.0,1.81,-0.6,-1.5,1.0,0.1,1.4,-1.3,-0.5,2.31
Nicolas Batum,Paul Reed,PHI,2023-24,47,26,21,545.7,25.0,2.2,-0.5,-1.3,0.7,0.4,-0.6,1.0,-0.1,2.3
RJ Barrett,Jamal Shead,TOR,2024-25,50,20,30,519.9,-13.0,-1.2,0.6,1.2,-0.7,-4.1,-3.2,-0.9,-3.5,2.3
Julian Strawther,Peyton Watson,DEN,2024-25,51,31,20,706.4,-59.0,-4.01,-4.5,-3.1,-1.4,-1.8,-2.1,0.3,-6.3,2.29
Spencer Dinwiddie,Mikal Bridges,BKN,2023-24,48,19,29,1252.5,-1.0,-0.04,-1.9,-1.3,-0.6,-0.4,0.7,-1.0,-2.3,2.26
Brook Lopez,Taurean Prince,MIL,2024-25,79,46,33,1699.1,48.0,1.36,0.8,0.4,0.4,-1.7,-2.0,0.3,-0.9,2.26
Giannis Antetokounmpo,Gary Trent Jr.,MIL,2024-25,60,37,23,878.6,186.0,10.16,9.5,6.9,2.5,-1.6,-1.2,-0.4,7.9,2.26
Luke Kennard,Zach Edey,MEM,2024-25,52,27,25,544.1,37.0,3.26,1.1,0.9,0.2,-0.1,-0.2,0.1,1.0,2.26
Paul George,Guerschon Yabusele,PHI,2024-25,39,15,24,621.5,11.0,0.85,-0.4,-0.5,0.1,-1.0,0.1,-1.1,-1.4,2.25
Paul George,Kelly Oubre Jr.,PHI,2024-25,38,14,24,938.1,-9.0,-0.46,-0.4,-0.5,0.1,-2.3,-1.7,-0.6,-2.7,2.24
Jrue Holiday,Kristaps Porziņģis,BOS,2023-24,49,37,12,1088.2,213.0,9.4,2.1,1.0,1.1,5.1,3.5,1.6,7.2,2.2
Karl-Anthony Towns,OG Anunoby,NYK,2024-25,65,41,24,1802.4,244.0,6.5,3.6,3.5,0.1,0.7,0.7,0.1,4.3,2.2
Brandon Ingram,Herbert Jones,NOP,2023-24,58,35,23,1431.5,119.0,3.99,1.2,1.4,-0.3,0.6,-0.9,1.5,1.8,2.19
Pascal Siakam,OG Anunoby,TOR,2023-24,27,11,16,724.3,30.0,1.99,1.4,2.2,-0.8,-1.6,-0.8,-0.7,-0.2,2.19
Josh Hart,Miles McBride,NYK,2023-24,57,37,20,992.8,43.0,2.08,0.0,-1.3,1.4,-0.1,-0.4,0.4,-0.1,2.18
Kris Dunn,Lauri Markkanen,UTA,2023-24,48,20,28,660.8,78.0,5.67,-0.1,-1.5,1.4,3.6,5.1,-1.5,3.5,2.17
Scoot Henderson,Toumani Camara,POR,2024-25,63,27,36,1115.5,-3.0,-0.13,-2.2,-1.4,-0.8,-0.1,-0.9,0.8,-2.3,2.17
Haywood Highsmith,Jaime Jaquez Jr.,MIA,2023-24,52,33,19,653.3,-6.0,-0.44,-0.7,-1.8,1.1,-1.9,-2.2,0.3,-2.6,2.16
Bogdan Bogdanović,Jalen Johnson,ATL,2023-24,55,27,28,1097.4,81.0,3.54,0.2,0.9,-0.7,1.2,0.4,0.8,1.4,2.14
