player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Harrison Barnes,Victor Wembanyama,SAS,2024-25,46,21,25,957.3,137.0,6.87,0.0,1.7,-1.7,6.5,3.6,2.9,6.5,0.37
Gary Trent Jr.,RJ Barrett,TOR,2023-24,28,11,17,603.2,-27.0,-2.15,-2.6,-1.2,-1.4,0.1,1.5,-1.4,-2.5,0.35
Jordan Clarkson,Collin Sexton,UTA,2023-24,53,21,32,532.9,-25.0,-2.25,-4.5,-1.3,-3.2,1.9,3.8,-1.9,-2.6,0.35
Rudy Gobert,Anthony Edwards,MIN,2024-25,70,42,28,1883.9,257.0,6.55,1.9,0.6,1.3,4.3,4.4,0.0,6.2,0.35
Anthony Davis,D'Angelo Russell,LAL,2024-25,28,16,12,506.3,49.0,4.65,6.0,4.5,1.5,-1.7,-0.7,-1.0,4.3,0.35
Kevin Durant,Grayson Allen,PHX,2023-24,71,42,29,2042.8,239.0,5.62,4.0,4.0,0.1,1.3,1.1,0.1,5.3,0.32
Mike Conley,Anthony Edwards,MIN,2023-24,73,51,22,1507.0,220.0,7.01,3.4,2.0,1.4,3.3,2.7,0.5,6.7,0.31
Goga Bitadze,Franz Wagner,ORL,2023-24,37,20,17,532.4,40.0,3.61,2.1,-0.7,2.8,1.2,0.9,0.3,3.3,0.31
Kyle Lowry,Jimmy Butler,MIA,2023-24,25,14,11,655.3,56.0,4.1,-0.8,-2.0,1.3,4.6,3.9,0.7,3.8,0.3
CJ McCollum,Herbert Jones,NOP,2023-24,63,39,24,1538.5,127.0,3.96,3.1,3.3,-0.3,0.6,-0.9,1.5,3.7,0.26
Domantas Sabonis,Keegan Murray,SAC,2024-25,64,32,32,1728.0,139.0,3.86,5.2,4.2,1.1,-1.6,-0.8,-0.8,3.6,0.26
Saddiq Bey,Jalen Johnson,ATL,2023-24,47,23,24,892.4,-7.0,-0.38,-1.8,0.1,-2.0,1.2,0.4,0.8,-0.6,0.22
Jakob Poeltl,Davion Mitchell,TOR,2024-25,39,15,24,716.5,-31.0,-2.08,2.0,0.7,1.3,-4.3,-4.0,-0.3,-2.3,0.22
Dillon Brooks,Jabari Smith Jr.,HOU,2023-24,67,34,33,1493.3,-118.0,-3.79,-3.6,-3.3,-0.3,-0.4,-0.5,0.1,-4.0,0.21
Tim Hardaway Jr.,Derrick Jones Jr.,DAL,2023-24,72,45,27,812.9,-71.0,-4.19,-2.9,-0.8,-2.1,-1.5,-1.3,-0.3,-4.4,0.21
Tobias Harris,Cade Cunningham,DET,2024-25,65,36,29,1721.8,151.0,4.21,0.1,-0.5,0.6,3.9,3.8,0.1,4.0,0.21
Onyeka Okongwu,Jalen Johnson,ATL,2023-24,40,19,21,622.7,13.0,1.0,-0.4,0.0,-0.5,1.2,0.4,0.8,0.8,0.2
Chris Paul,Victor Wembanyama,SAS,2024-25,46,21,25,1152.4,180.0,7.5,0.8,0.3,0.5,6.5,3.6,2.9,7.3,0.2
Damian Lillard,Jae Crowder,MIL,2023-24,42,24,18,774.7,-5.0,-0.31,2.1,3.4,-1.3,-2.6,-2.6,0.0,-0.5,0.19
Dillon Brooks,Amen Thompson,HOU,2023-24,48,22,26,652.5,-22.0,-1.62,-3.6,-3.3,-0.3,1.8,-0.1,1.9,-1.8,0.18
Jalen Green,Alperen Şengün,HOU,2024-25,76,52,24,1816.1,192.0,5.07,0.5,1.1,-0.5,4.4,2.6,1.8,4.9,0.17
Paolo Banchero,Anthony Black,ORL,2023-24,53,29,24,791.9,-26.0,-1.58,1.3,1.3,0.0,-3.0,-3.8,0.8,-1.7,0.12
Julius Randle,Mitchell Robinson,NYK,2023-24,21,12,9,572.5,24.0,2.01,1.9,2.2,-0.3,0.0,-0.3,0.4,1.9,0.11
Pascal Siakam,Tyrese Haliburton,IND,2024-25,72,45,27,1690.5,268.0,7.61,1.7,2.2,-0.5,5.8,5.7,0.2,7.5,0.11
Obi Toppin,Tyrese Haliburton,IND,2023-24,66,38,28,881.9,156.0,8.49,1.5,1.8,-0.3,6.9,7.3,-0.4,8.4,0.09
Naz Reid,Anthony Edwards,MIN,2024-25,77,46,31,1394.3,174.0,5.99,1.6,0.8,0.8,4.3,4.4,0.0,5.9,0.09
Georges Niang,Jarrett Allen,CLE,2023-24,77,46,31,780.9,3.0,0.18,-2.9,-2.5,-0.4,3.0,2.1,0.9,0.1,0.08
Kris Dunn,John Collins,UTA,2023-24,52,22,30,613.4,-12.0,-0.94,-0.1,-1.5,1.4,-0.9,0.5,-1.4,-1.0,0.06
Gordon Hayward,Brandon Miller,CHA,2023-24,23,6,17,517.6,-50.0,-4.64,-2.1,-1.6,-0.5,-2.6,-0.9,-1.6,-4.7,0.06
Bam Adebayo,Duncan Robinson,MIA,2024-25,69,28,41,1229.4,9.0,0.35,2.0,1.0,1.0,-1.7,-0.7,-1.1,0.3,0.05
Lauri Markkanen,John Collins,UTA,2024-25,33,8,25,623.6,9.0,0.69,-0.3,1.8,-2.1,1.0,1.4,-0.4,0.7,-0.01
Michael Porter Jr.,Julian Strawther,DEN,2024-25,54,34,20,542.0,-52.0,-4.61,-0.1,1.6,-1.7,-4.5,-3.1,-1.4,-4.6,-0.01
DeMar DeRozan,Andre Drummond,CHI,2023-24,77,36,41,1037.9,40.0,1.85,1.8,2.1,-0.3,0.1,0.8,-0.7,1.9,-0.05
Kentavious Caldwell-Pope,Jalen Suggs,ORL,2024-25,34,19,15,732.9,-16.0,-1.05,-1.4,-3.0,1.6,0.4,-0.8,1.3,-1.0,-0.05
Keldon Johnson,Tre Jones,SAS,2023-24,64,16,48,866.9,-39.0,-2.16,-1.7,-0.3,-1.4,-0.4,-0.4,0.1,-2.1,-0.06
Malik Monk,Keon Ellis,SAC,2024-25,62,35,27,831.4,18.0,1.04,-0.8,0.3,-1.1,1.9,-0.1,2.0,1.1,-0.06
P.J. Washington,Daniel Gafford,DAL,2024-25,45,25,20,624.7,37.0,2.84,-0.9,-1.1,0.2,3.8,2.7,1.1,2.9,-0.06
Fred VanVleet,Amen Thompson,HOU,2024-25,51,33,18,1042.1,107.0,4.93,0.9,-0.4,1.3,4.1,1.4,2.6,5.0,-0.07
Bradley Beal,Mason Plumlee,PHX,2024-25,49,22,27,595.9,-22.0,-1.77,-1.1,-0.1,-1.0,-0.6,-1.5,1.0,-1.7,-0.07
Kris Dunn,Collin Sexton,UTA,2023-24,62,24,38,726.5,26.0,1.72,-0.1,-1.5,1.4,1.9,3.8,-1.9,1.8,-0.08
Jaren Jackson Jr.,Santi Aldama,MEM,2024-25,61,35,26,629.6,71.0,5.41,2.3,1.6,0.8,3.2,2.5,0.7,5.5,-0.09
Gary Harris,Paolo Banchero,ORL,2023-24,53,34,19,959.8,0.0,0.0,-1.2,-2.3,1.1,1.3,1.3,0.0,0.1,-0.1
Mike Conley,Anthony Edwards,MIN,2024-25,69,44,25,1271.6,143.0,5.4,1.2,-0.1,1.3,4.3,4.4,0.0,5.5,-0.1
Mikal Bridges,Cameron Johnson,BKN,2023-24,58,21,37,1244.3,-3.0,-0.12,-0.4,0.7,-1.0,0.4,0.9,-0.5,0.0,-0.12
Jaren Jackson Jr.,Desmond Bane,MEM,2024-25,62,33,29,1283.9,144.0,5.38,2.3,1.6,0.8,3.2,2.6,0.6,5.5,-0.12
Eric Gordon,Drew Eubanks,PHX,2023-24,60,33,27,618.4,-39.0,-3.03,-1.7,-1.3,-0.5,-1.2,-2.0,0.8,-2.9,-0.13
Aaron Gordon,Nikola Jokić,DEN,2024-25,47,31,16,1119.2,335.0,14.37,1.2,2.7,-1.5,13.3,9.9,3.3,14.5,-0.13
Zach LaVine,Patrick Williams,CHI,2024-25,32,14,18,708.9,-33.0,-2.23,1.6,2.7,-1.0,-3.7,-3.0,-0.7,-2.1,-0.13
Dennis Smith Jr.,Mikal Bridges,BKN,2023-24,56,19,37,568.7,-16.0,-1.35,-0.8,-2.6,1.8,-0.4,0.7,-1.0,-1.2,-0.15
Spencer Dinwiddie,Royce O'Neale,BKN,2023-24,45,18,27,536.0,-23.0,-2.06,-1.9,-1.3,-0.6,0.0,-1.0,1.0,-1.9,-0.16
LeBron James,Cam Reddish,LAL,2023-24,36,20,16,600.7,39.0,3.12,6.5,5.5,0.9,-3.2,-4.0,0.8,3.3,-0.18
Myles Turner,Tyrese Haliburton,IND,2024-25,65,41,24,1750.2,219.0,6.01,0.4,0.0,0.4,5.8,5.7,0.2,6.2,-0.19
Aaron Wiggins,Cason Wallace,OKC,2023-24,74,52,22,642.1,8.0,0.6,0.7,0.4,0.4,0.1,-0.9,1.0,0.8,-0.2
Julian Champagnie,Victor Wembanyama,SAS,2024-25,46,21,25,760.5,79.0,4.99,-1.3,-0.3,-0.9,6.5,3.6,2.9,5.2,-0.21
Dejounte Murray,De'Andre Hunter,ATL,2023-24,55,25,30,1412.1,-27.0,-0.92,1.7,2.3,-0.6,-2.4,-0.9,-1.5,-0.7,-0.22
Kelly Oubre Jr.,Tyrese Maxey,PHI,2023-24,57,36,21,1356.2,16.0,0.57,-2.3,-1.5,-0.7,3.1,4.1,-1.0,0.8,-0.23
Kevin Love,Jimmy Butler,MIA,2023-24,39,21,18,535.9,89.0,7.97,3.6,2.7,1.0,4.6,3.9,0.7,8.2,-0.23
DeMar DeRozan,Domantas Sabonis,SAC,2024-25,67,35,32,1963.3,199.0,4.87,-0.1,1.2,-1.2,5.2,4.2,1.1,5.1,-0.23
De'Aaron Fox,Kevin Huerter,SAC,2024-25,39,19,20,568.8,-16.0,-1.35,1.2,2.0,-0.8,-2.3,-2.3,0.0,-1.1,-0.25
Isaiah Hartenstein,Donte DiVincenzo,NYK,2023-24,73,45,28,1329.4,184.0,6.64,3.5,0.7,2.8,3.4,2.5,0.9,6.9,-0.26
Isaiah Stewart,Simone Fontecchio,DET,2024-25,65,32,33,732.1,-39.0,-2.56,0.6,-1.6,2.1,-2.9,-2.2,-0.7,-2.3,-0.26
Pascal Siakam,Gary Trent Jr.,TOR,2023-24,34,14,20,585.5,-18.0,-1.48,1.4,2.2,-0.8,-2.6,-1.2,-1.4,-1.2,-0.28
Taurean Prince,Rui Hachimura,LAL,2023-24,62,35,27,611.7,-51.0,-4.0,-2.8,-2.6,-0.2,-0.9,0.0,-0.9,-3.7,-0.3
Clint Capela,Saddiq Bey,ATL,2023-24,55,25,30,1048.4,-44.0,-2.01,0.1,1.0,-1.0,-1.8,0.1,-2.0,-1.7,-0.31
Kevin Durant,Devin Booker,PHX,2023-24,61,38,23,1714.5,238.0,6.66,4.0,4.0,0.1,3.0,4.0,-1.0,7.0,-0.34
Ochai Agbaji,Gradey Dick,TOR,2024-25,47,11,36,889.8,-79.0,-4.26,-0.7,-0.9,0.2,-3.2,-1.9,-1.3,-3.9,-0.36
Julius Randle,Naz Reid,MIN,2024-25,67,42,25,835.2,44.0,2.53,1.3,1.5,-0.2,1.6,0.8,0.8,2.9,-0.37
Kyrie Irving,Dereck Lively II,DAL,2023-24,39,25,14,611.5,64.0,5.02,4.9,4.8,0.1,0.5,-0.3,0.8,5.4,-0.38
Shaedon Sharpe,Toumani Camara,POR,2023-24,31,8,23,566.0,-74.0,-6.28,-2.8,-1.9,-0.9,-3.1,-3.1,0.0,-5.9,-0.38
Julius Randle,Jalen Brunson,NYK,2023-24,44,28,16,1365.3,208.0,7.31,1.9,2.2,-0.3,5.8,6.3,-0.4,7.7,-0.39
Dorian Finney-Smith,Cam Thomas,BKN,2023-24,52,19,33,869.7,-65.0,-3.59,-2.0,-2.0,-0.1,-1.2,0.7,-1.9,-3.2,-0.39
Shai Gilgeous-Alexander,Cason Wallace,OKC,2023-24,75,55,20,864.2,156.0,8.67,9.0,6.7,2.3,0.1,-0.9,1.0,9.1,-0.43
D'Angelo Russell,Austin Reaves,LAL,2023-24,75,45,30,1402.4,25.0,0.86,0.9,1.7,-0.8,0.4,0.9,-0.4,1.3,-0.44
Dillon Brooks,Alperen Şengün,HOU,2023-24,54,25,29,1392.1,25.0,0.86,-3.6,-3.3,-0.3,4.9,3.1,1.7,1.3,-0.44
Bam Adebayo,Jaime Jaquez Jr.,MIA,2023-24,64,38,26,1120.0,1.0,0.04,2.4,0.8,1.7,-1.9,-2.2,0.3,0.5,-0.46
Lauri Markkanen,Keyonte George,UTA,2024-25,36,7,29,763.7,-55.0,-3.46,-0.3,1.8,-2.1,-2.7,-0.2,-2.5,-3.0,-0.46
Kevin Durant,Bradley Beal,PHX,2023-24,49,30,19,1314.1,107.0,3.91,4.0,4.0,0.1,0.4,0.9,-0.6,4.4,-0.49
Jimmy Butler,Duncan Robinson,MIA,2023-24,48,25,23,776.6,52.0,3.21,4.6,3.9,0.7,-0.9,-0.5,-0.4,3.7,-0.49
Jalen Green,Tari Eason,HOU,2024-25,57,36,21,880.3,66.0,3.6,0.5,1.1,-0.5,3.6,1.0,2.6,4.1,-0.5
John Collins,Walker Kessler,UTA,2024-25,31,11,20,606.3,29.0,2.3,1.0,1.4,-0.4,1.8,1.1,0.7,2.8,-0.5
Taurean Prince,Andre Jackson Jr.,MIL,2024-25,48,27,21,582.3,-68.0,-5.61,-1.7,-2.0,0.3,-3.4,-3.6,0.2,-5.1,-0.51
Christian Wood,Austin Reaves,LAL,2023-24,46,27,19,526.2,-32.0,-2.92,-2.8,-2.6,-0.2,0.4,0.9,-0.4,-2.4,-0.52
OG Anunoby,Josh Hart,NYK,2024-25,72,44,28,2095.2,130.0,2.98,0.7,0.7,0.1,2.8,1.1,1.8,3.5,-0.52
Markelle Fultz,Wendell Carter Jr.,ORL,2023-24,32,19,13,514.6,-11.0,-1.03,-1.4,-2.6,1.2,0.9,0.5,0.4,-0.5,-0.53
Dennis Schröder,Jakob Poeltl,TOR,2023-24,40,16,24,843.9,-29.0,-1.65,-1.8,-0.5,-1.3,0.7,-0.3,1.0,-1.1,-0.55
Franz Wagner,Anthony Black,ORL,2023-24,44,27,17,631.5,-31.0,-2.36,1.2,0.9,0.3,-3.0,-3.8,0.8,-1.8,-0.56
Julian Champagnie,Stephon Castle,SAS,2024-25,81,33,48,1005.3,-106.0,-5.06,-1.3,-0.3,-0.9,-3.2,-1.5,-1.7,-4.5,-0.56
Stephen Curry,Andrew Wiggins,GSW,2023-24,64,36,28,1457.1,64.0,2.11,5.2,6.3,-1.1,-2.5,-1.4,-1.2,2.7,-0.59
Josh Richardson,Duncan Robinson,MIA,2023-24,36,22,14,617.4,-36.0,-2.8,-1.3,-1.3,0.0,-0.9,-0.5,-0.4,-2.2,-0.6
Klay Thompson,Brandin Podziemski,GSW,2023-24,65,35,30,882.3,-21.0,-1.14,-0.4,1.1,-1.5,-0.1,-0.5,0.4,-0.5,-0.64
Chris Paul,Stephon Castle,SAS,2024-25,77,33,44,1104.2,-70.0,-3.04,0.8,0.3,0.5,-3.2,-1.5,-1.7,-2.4,-0.64
Terry Rozier,Haywood Highsmith,MIA,2024-25,53,23,30,659.8,-86.0,-6.26,-3.7,-2.6,-1.0,-1.9,-2.7,0.9,-5.6,-0.66
Tyler Herro,Kel'el Ware,MIA,2024-25,57,26,31,1030.0,50.0,2.33,3.1,3.8,-0.7,-0.1,-0.7,0.6,3.0,-0.67
Herbert Jones,Dyson Daniels,NOP,2023-24,54,30,24,554.9,6.0,0.52,0.6,-0.9,1.5,0.6,-1.9,2.5,1.2,-0.68
Franz Wagner,Paolo Banchero,ORL,2023-24,70,43,27,1799.5,68.0,1.81,1.2,0.9,0.3,1.3,1.3,0.0,2.5,-0.69
Caris LeVert,Isaac Okoro,CLE,2023-24,57,33,24,872.6,-29.0,-1.6,0.2,-0.6,0.8,-1.1,-1.8,0.7,-0.9,-0.7
Devin Booker,Ryan Dunn,PHX,2024-25,63,30,33,1024.2,-95.0,-4.45,0.4,2.8,-2.4,-4.1,-2.9,-1.2,-3.7,-0.75
Mikal Bridges,Jalen Brunson,NYK,2024-25,65,40,25,1997.6,85.0,2.04,-0.5,0.4,-0.9,3.3,4.7,-1.3,2.8,-0.76
Damian Lillard,Giannis Antetokounmpo,MIL,2023-24,65,44,21,1756.0,378.0,10.33,2.1,3.4,-1.3,9.0,6.7,2.4,11.1,-0.77
Keegan Murray,Keon Ellis,SAC,2023-24,45,25,20,618.0,-6.0,-0.47,-0.9,-0.4,-0.5,1.2,-0.9,2.1,0.3,-0.77
Duncan Robinson,Jaime Jaquez Jr.,MIA,2024-25,56,25,31,541.4,-38.0,-3.37,-1.7,-0.7,-1.1,-0.9,-1.4,0.5,-2.6,-0.77
Kyrie Irving,Spencer Dinwiddie,DAL,2024-25,46,25,21,715.8,15.0,1.01,3.4,3.9,-0.5,-1.6,-0.9,-0.7,1.8,-0.79
Domantas Sabonis,Malik Monk,SAC,2024-25,59,34,25,1510.8,113.0,3.59,5.2,4.2,1.1,-0.8,0.3,-1.1,4.4,-0.81
Isaiah Stewart,Jalen Duren,DET,2023-24,33,9,24,744.8,-50.0,-3.22,-2.3,-1.6,-0.7,-0.1,-0.2,0.1,-2.4,-0.82
Larry Nance Jr.,Herbert Jones,NOP,2023-24,55,33,22,620.2,23.0,1.78,2.0,-0.2,2.2,0.6,-0.9,1.5,2.6,-0.82
De'Andre Hunter,Onyeka Okongwu,ATL,2024-25,32,15,17,574.1,1.0,0.08,-0.4,0.9,-1.4,1.3,1.2,0.2,0.9,-0.82
LeBron James,D'Angelo Russell,LAL,2023-24,65,40,25,1610.4,219.0,6.53,6.5,5.5,0.9,0.9,1.7,-0.8,7.4,-0.87
Julius Randle,Donte DiVincenzo,MIN,2024-25,60,37,23,906.6,44.0,2.33,1.3,1.5,-0.2,1.9,0.8,1.1,3.2,-0.87
Donovan Mitchell,Jarrett Allen,CLE,2023-24,51,34,17,1406.7,232.0,7.92,5.8,4.6,1.2,3.0,2.1,0.9,8.8,-0.88
Bam Adebayo,Tyler Herro,MIA,2023-24,41,23,18,1039.9,50.0,2.31,2.4,0.8,1.7,0.8,1.5,-0.7,3.2,-0.89
Deandre Ayton,Toumani Camara,POR,2023-24,46,12,34,791.5,-61.0,-3.7,0.3,0.5,-0.2,-3.1,-3.1,0.0,-2.8,-0.9
Shai Gilgeous-Alexander,Chet Holmgren,OKC,2023-24,75,55,20,1633.1,391.0,11.49,9.0,6.7,2.3,3.4,1.8,1.5,12.4,-0.91
Zach LaVine,Keegan Murray,SAC,2024-25,29,12,17,804.1,-49.0,-2.92,-0.4,1.8,-2.3,-1.6,-0.8,-0.8,-2.0,-0.92
Goga Bitadze,Paolo Banchero,ORL,2023-24,42,22,20,834.9,43.0,2.47,2.1,-0.7,2.8,1.3,1.3,0.0,3.4,-0.93
Julius Randle,RJ Barrett,NYK,2023-24,26,15,11,515.1,-11.0,-1.03,1.9,2.2,-0.3,-2.0,-0.3,-1.7,-0.1,-0.93
DeMar DeRozan,De'Aaron Fox,SAC,2024-25,40,19,21,1114.9,4.0,0.17,-0.1,1.2,-1.2,1.2,2.0,-0.8,1.1,-0.93
Anthony Davis,Rui Hachimura,LAL,2023-24,62,38,24,1191.1,81.0,3.26,5.1,3.5,1.7,-0.9,0.0,-0.9,4.2,-0.94
Dennis Schröder,Cam Thomas,BKN,2023-24,22,8,14,511.2,-42.0,-3.94,-1.8,-0.5,-1.3,-1.2,0.7,-1.9,-3.0,-0.94
Reggie Jackson,Nikola Jokić,DEN,2023-24,79,55,24,1028.8,194.0,9.05,-3.2,-1.8,-1.5,13.2,9.0,4.2,10.0,-0.95
Tyus Jones,Royce O'Neale,PHX,2024-25,73,32,41,1030.1,-16.0,-0.75,0.1,1.4,-1.3,0.1,0.2,-0.1,0.2,-0.95
Bam Adebayo,Duncan Robinson,MIA,2023-24,58,33,25,1250.5,14.0,0.54,2.4,0.8,1.7,-0.9,-0.5,-0.4,1.5,-0.96
Karl-Anthony Towns,Jalen Brunson,NYK,2024-25,57,37,20,1463.8,181.0,5.94,3.6,3.5,0.1,3.3,4.7,-1.3,6.9,-0.96
Tobias Harris,Ausar Thompson,DET,2024-25,50,30,20,796.4,14.0,0.84,0.1,-0.5,0.6,1.7,-0.8,2.5,1.8,-0.96
Andrew Nembhard,Obi Toppin,IND,2024-25,63,42,21,585.1,-19.0,-1.56,-2.3,-2.6,0.3,1.7,1.8,-0.1,-0.6,-0.96
Jalen Green,Jabari Smith Jr.,HOU,2023-24,76,39,37,1741.5,-69.0,-1.9,-0.5,0.4,-0.9,-0.4,-0.5,0.1,-0.9,-1.0
Luka Dončić,Austin Reaves,LAL,2024-25,26,16,10,667.9,103.0,7.4,6.5,5.5,1.1,1.9,2.4,-0.5,8.4,-1.0
Coby White,Ayo Dosunmu,CHI,2023-24,70,35,35,1387.9,-73.0,-2.52,-0.7,0.7,-1.3,-0.8,-0.6,-0.2,-1.5,-1.02
Victor Wembanyama,Stephon Castle,SAS,2024-25,45,20,25,779.3,37.0,2.28,6.5,3.6,2.9,-3.2,-1.5,-1.7,3.3,-1.02
Kelly Oubre Jr.,Caleb Martin,PHI,2024-25,28,11,17,525.7,-64.0,-5.84,-2.3,-1.7,-0.6,-2.5,-2.3,-0.2,-4.8,-1.04
Donte DiVincenzo,Jaden McDaniels,MIN,2024-25,62,37,25,744.5,13.0,0.84,1.9,0.8,1.1,0.0,-1.4,1.4,1.9,-1.06
Stephen Curry,Moses Moody,GSW,2023-24,56,33,23,547.4,46.0,4.03,5.2,6.3,-1.1,-0.1,-0.2,0.1,5.1,-1.07
Tyrese Haliburton,Bennedict Mathurin,IND,2024-25,65,40,25,1371.7,52.0,1.82,5.8,5.7,0.2,-2.9,-1.3,-1.5,2.9,-1.08
P.J. Washington,Quentin Grimes,DAL,2024-25,39,23,16,527.1,-25.0,-2.28,-0.9,-1.1,0.2,-0.3,0.1,-0.4,-1.2,-1.08
Jarrett Allen,Isaac Okoro,CLE,2023-24,64,39,25,1254.2,21.0,0.8,3.0,2.1,0.9,-1.1,-1.8,0.7,1.9,-1.1
Tyus Jones,Grayson Allen,PHX,2024-25,63,29,34,653.4,-18.0,-1.32,0.1,1.4,-1.3,-0.3,0.7,-1.0,-0.2,-1.12
Nikola Jokić,Michael Porter Jr.,DEN,2023-24,78,55,23,2129.7,540.0,12.17,13.2,9.0,4.2,0.1,1.2,-1.2,13.3,-1.13
Jonas Valančiūnas,Zion Williamson,NOP,2023-24,70,42,28,1055.2,85.0,3.87,1.2,0.7,0.5,3.8,3.3,0.6,5.0,-1.13
CJ McCollum,Brandon Ingram,NOP,2023-24,49,32,17,1159.7,76.0,3.15,3.1,3.3,-0.3,1.2,1.4,-0.3,4.3,-1.15
Jaden Ivey,Ausar Thompson,DET,2023-24,56,10,46,714.6,-96.0,-6.45,-3.1,-1.4,-1.7,-2.2,-2.8,0.6,-5.3,-1.15
Terry Rozier,Jaime Jaquez Jr.,MIA,2024-25,50,22,28,725.7,-87.0,-5.75,-3.7,-2.6,-1.0,-0.9,-1.4,0.5,-4.6,-1.15
Mikal Bridges,DaQuan Jeffries,CHA,2024-25,37,8,29,514.0,-68.0,-6.35,-0.5,0.4,-0.9,-4.7,-4.0,-0.7,-5.2,-1.15
Nikola Jokić,Christian Braun,DEN,2024-25,69,45,24,2091.9,542.0,12.44,13.3,9.9,3.3,0.3,0.8,-0.5,13.6,-1.16
Klay Thompson,Andrew Wiggins,GSW,2023-24,64,32,32,1046.0,-89.0,-4.08,-0.4,1.1,-1.5,-2.5,-1.4,-1.2,-2.9,-1.18
Jonathan Kuminga,Brandin Podziemski,GSW,2024-25,39,22,17,533.8,-12.0,-1.08,-0.6,-0.5,-0.1,0.7,-0.1,0.8,0.1,-1.18
Tim Hardaway Jr.,Grant Williams,DAL,2023-24,45,24,21,692.1,-108.0,-7.49,-2.9,-0.8,-2.1,-3.4,-2.7,-0.7,-6.3,-1.19
Markelle Fultz,Paolo Banchero,ORL,2023-24,40,24,16,651.9,-18.0,-1.33,-1.4,-2.6,1.2,1.3,1.3,0.0,-0.1,-1.23
Jarrett Allen,Darius Garland,CLE,2023-24,56,30,26,1270.6,20.0,0.76,3.0,2.1,0.9,-1.0,0.2,-1.2,2.0,-1.24
Nikola Jokić,Michael Porter Jr.,DEN,2024-25,66,43,23,1847.8,460.0,11.95,13.3,9.9,3.3,-0.1,1.6,-1.7,13.2,-1.25
Fred VanVleet,Tari Eason,HOU,2024-25,43,28,15,621.3,42.0,3.24,0.9,-0.4,1.3,3.6,1.0,2.6,4.5,-1.26
Kyle Lowry,Bam Adebayo,MIA,2023-24,27,16,11,574.9,4.0,0.33,-0.8,-2.0,1.3,2.4,0.8,1.7,1.6,-1.27
Donte DiVincenzo,Anthony Edwards,MIN,2024-25,61,37,24,1015.2,104.0,4.92,1.9,0.8,1.1,4.3,4.4,0.0,6.2,-1.28
Harrison Barnes,Jeremy Sochan,SAS,2024-25,54,21,33,716.0,-37.0,-2.48,0.0,1.7,-1.7,-1.2,-0.8,-0.4,-1.2,-1.28
Jose Alvarado,Jordan Hawkins,NOP,2024-25,43,18,25,580.8,-98.0,-8.1,-1.4,-0.6,-0.8,-5.4,-2.4,-3.0,-6.8,-1.3
Nikola Vučević,Ayo Dosunmu,CHI,2023-24,71,35,36,1504.3,-63.0,-2.01,0.1,0.8,-0.7,-0.8,-0.6,-0.2,-0.7,-1.31
Jabari Smith Jr.,Amen Thompson,HOU,2023-24,54,27,27,714.8,1.0,0.07,-0.4,-0.5,0.1,1.8,-0.1,1.9,1.4,-1.33
Kevin Durant,Josh Okogie,PHX,2023-24,48,28,20,601.2,27.0,2.16,4.0,4.0,0.1,-0.5,-1.3,0.8,3.5,-1.34
Deni Avdija,Corey Kispert,WAS,2023-24,74,14,60,1091.2,-99.0,-4.35,-0.9,-0.7,-0.2,-2.1,-0.2,-2.0,-3.0,-1.35
Jalen Duren,Ausar Thompson,DET,2024-25,56,34,22,945.9,68.0,3.45,3.1,1.6,1.5,1.7,-0.8,2.5,4.8,-1.35
T.J. McConnell,Pascal Siakam,IND,2024-25,74,45,29,825.9,26.0,1.51,1.2,0.6,0.6,1.7,2.2,-0.5,2.9,-1.39
Clint Capela,Zaccharie Risacher,ATL,2024-25,50,25,25,642.3,-79.0,-5.9,-1.0,-0.6,-0.4,-3.5,-1.7,-1.8,-4.5,-1.4
Jalen Green,Jalen Green,HOU,2023-24,74,38,36,616.8,-31.0,-2.41,-0.5,0.4,-0.9,-0.5,0.4,-0.9,-1.0,-1.41
Trey Lyles,Keegan Murray,SAC,2024-25,58,27,31,517.5,-40.0,-3.71,-0.7,-0.4,-0.3,-1.6,-0.8,-0.8,-2.3,-1.41
Dejounte Murray,Onyeka Okongwu,ATL,2023-24,52,21,31,730.8,-2.0,-0.13,1.7,2.3,-0.6,-0.4,0.0,-0.5,1.3,-1.43
CJ McCollum,Larry Nance Jr.,NOP,2023-24,50,30,20,642.0,49.0,3.66,3.1,3.3,-0.3,2.0,-0.2,2.2,5.1,-1.44
Brook Lopez,Bobby Portis,MIL,2024-25,48,29,19,543.0,-5.0,-0.44,0.8,0.4,0.4,0.2,0.6,-0.4,1.0,-1.44
Jerami Grant,Toumani Camara,POR,2023-24,52,17,35,815.8,-79.0,-4.65,-0.1,1.0,-1.1,-3.1,-3.1,0.0,-3.2,-1.45
Trey Lyles,De'Aaron Fox,SAC,2024-25,35,16,19,507.2,-10.0,-0.95,-0.7,-0.4,-0.3,1.2,2.0,-0.8,0.5,-1.45
Isaiah Stewart,Cade Cunningham,DET,2023-24,39,6,33,1081.2,-78.0,-3.46,-2.3,-1.6,-0.7,0.3,2.0,-1.6,-2.0,-1.46
Zion Williamson,Trey Murphy III,NOP,2023-24,50,30,20,925.4,93.0,4.82,3.8,3.3,0.6,2.5,2.5,0.0,6.3,-1.48
