PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Walker Kessler,UTA,58,1740,1.8,1.1,0.7,1.7
De'Andre Hunter,2TM,64,1740,0.4,1.2,-0.8,1.0
De'Andre Hunter,ATL,37,1064,-0.4,0.9,-1.4,0.4
De'Andre Hunter,CLE,27,676,1.6,1.6,0.0,0.6
Ochai Agbaji,TOR,64,1739,-0.7,-0.9,0.2,0.5
Brandin Podziemski,GSW,64,1716,0.7,-0.1,0.8,1.2
Jabari Smith Jr.,HOU,57,1716,-0.7,-0.8,0.1,0.6
Anthony Davis,2TM,51,1706,5.4,3.9,1.5,3.2
Anthony Davis,LAL,42,1440,6.0,4.5,1.5,2.9
Anthony Davis,DAL,9,266,2.5,1.2,1.3,0.3
Bradley Beal,PHO,53,1702,-1.1,-0.1,-1.0,0.4
Georges Niang,2TM,79,1697,-2.3,-1.1,-1.2,-0.1
Georges Niang,CLE,51,1053,-1.8,-1.3,-0.5,0.1
Georges Niang,ATL,28,644,-3.1,-0.8,-2.3,-0.2
Jakob Poeltl,TOR,57,1686,2.0,0.7,1.3,1.7
Scotty Pippen Jr.,MEM,79,1683,1.9,0.0,1.8,1.7
Kevin Huerter,2TM,69,1679,-2.0,-1.8,-0.2,0.0
Kevin Huerter,SAC,43,899,-2.3,-2.3,0.0,-0.1
Kevin Huerter,CHI,26,780,-1.5,-1.2,-0.3,0.1
Santi Aldama,MEM,65,1660,3.2,2.5,0.7,2.2
A.J. Green,MIL,73,1659,-2.2,-1.7,-0.4,-0.1
Al Horford,BOS,60,1659,1.2,0.1,1.1,1.3
Terry Rozier,MIA,64,1658,-3.7,-2.6,-1.0,-0.7
Peyton Watson,DEN,68,1656,-1.8,-2.1,0.3,0.1
Moses Moody,GSW,74,1649,-0.9,-0.9,0.0,0.5
Tristan Da Silva,ORL,74,1629,-2.6,-2.3,-0.3,-0.3
Donte DiVincenzo,MIN,62,1606,1.9,0.8,1.1,1.6
Isaiah Joe,OKC,74,1604,1.3,1.4,-0.1,1.4
Corey Kispert,WAS,61,1602,-3.7,-1.4,-2.2,-0.7
Caris LeVert,2TM,64,1596,0.9,0.8,0.1,1.2
Caris LeVert,CLE,38,904,1.2,0.5,0.7,0.7
Caris LeVert,ATL,26,692,0.4,1.1,-0.7,0.4
Miles McBride,NYK,64,1593,0.0,-0.4,0.4,0.8
Isaiah Hartenstein,OKC,57,1590,3.2,0.6,2.6,2.1
Gradey Dick,TOR,54,1587,-3.2,-1.9,-1.3,-0.5
Paolo Banchero,ORL,46,1582,3.5,3.4,0.2,2.2
Patrick Williams,CHI,63,1576,-3.7,-3.0,-0.7,-0.7
Obi Toppin,IND,79,1545,1.7,1.8,-0.1,1.4
Grayson Allen,PHO,64,1544,-0.3,0.7,-1.0,0.7
Sam Hauser,BOS,71,1541,0.8,0.9,-0.1,1.1
Ziaire Williams,BRK,63,1541,-2.3,-2.2,-0.1,-0.1
Gabe Vincent,LAL,72,1527,-4.0,-3.8,-0.1,-0.8
Victor Wembanyama,SAS,46,1527,6.5,3.6,2.9,3.3
Jerami Grant,POR,47,1524,-1.6,-1.4,-0.3,0.1
Jonas Valančiūnas,2TM,81,1524,0.6,0.8,-0.1,1.0
Jonas Valančiūnas,WAS,49,983,0.4,0.8,-0.5,0.6
Jonas Valančiūnas,SAC,32,541,1.1,0.6,0.5,0.4
Kyle Filipowski,UTA,72,1522,-1.0,-0.6,-0.3,0.4
Ja Morant,MEM,50,1519,2.4,3.1,-0.7,1.7
Matas Buzelis,CHI,80,1511,-2.5,-2.0,-0.5,-0.2
LaMelo Ball,CHO,47,1505,3.2,4.1,-0.9,2.0
Dalton Knecht,LAL,78,1494,-1.8,-0.1,-1.7,0.1
Kevin Porter Jr.,2TM,75,1482,-0.6,-1.6,0.9,0.5
Kevin Porter Jr.,LAC,45,884,-2.5,-3.2,0.7,-0.1
Kevin Porter Jr.,MIL,30,598,2.1,0.9,1.2,0.6
D'Angelo Russell,2TM,58,1480,-0.4,0.0,-0.4,0.6
D'Angelo Russell,LAL,29,763,-1.7,-0.7,-1.0,0.1
D'Angelo Russell,BRK,29,717,1.0,0.8,0.2,0.5
Lauri Markkanen,UTA,47,1476,-0.3,1.8,-2.1,0.7
Luke Kennard,MEM,65,1472,1.1,0.9,0.2,1.2
Jamal Shead,TOR,75,1467,-4.1,-3.2,-0.9,-0.8
Aaron Gordon,DEN,51,1447,1.2,2.7,-1.5,1.2
Isaiah Stewart,DET,72,1434,0.6,-1.6,2.1,0.9
Brice Sensabaugh,UTA,71,1432,-1.2,0.4,-1.6,0.3
Goga Bitadze,ORL,70,1430,2.5,-0.3,2.8,1.6
Kel'el Ware,MIA,64,1422,-0.1,-0.7,0.6,0.7
Tari Eason,HOU,57,1420,3.6,1.0,2.6,2.0
Zach Edey,MEM,66,1416,-0.1,-0.2,0.1,0.7
T.J. McConnell,IND,79,1415,1.2,0.6,0.6,1.2
Terance Mann,2TM,67,1414,-1.3,-1.4,0.0,0.2
Terance Mann,LAC,37,732,-1.3,-2.5,1.2,0.1
Terance Mann,ATL,30,682,-1.3,-0.1,-1.2,0.1
