PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Jonathan Isaac",ORL,27,71,15.4,-0.7,105.9,106.6,0.155,0.512,0.056,0.108,98.62,2229,2024-25
"Jonathan Kuminga",GSW,22,47,24.3,1,110,108.9,0.271,0.535,0.151,0.11,100.21,2381,2024-25
"Jonathan Mogbo",TOR,23,63,20.4,-8.2,103.7,111.9,0.145,0.496,0.16,0.083,102.69,2743,2024-25
"Jordan Clarkson",UTA,33,37,26,-10,107.5,117.5,0.269,0.54,0.238,0.102,102.16,2049,2024-25
"Jordan Goodwin",LAL,26,29,18.7,-1.2,111.2,112.4,0.134,0.541,0.108,0.08,99.53,1126,2024-25
"Jordan Hawkins",NOP,23,56,23.6,-11.4,106.6,118.1,0.204,0.504,0.076,0.066,101.14,2783,2024-25
"Jordan McLaughlin",SAS,29,46,6.8,9.1,118,108.9,0.134,0.6,0.208,0.083,99.58,651,2024-25
"Jordan Miller",LAC,25,37,11.4,-6,103.8,109.8,0.175,0.509,0.124,0.07,100.15,872,2024-25
"Jordan Poole",WAS,26,68,29.4,-13.1,104.8,117.9,0.281,0.591,0.254,0.107,103.95,4337,2024-25
"Jordan Walsh",BOS,21,52,7.8,3.8,111.8,108,0.11,0.464,0.064,0.045,98.14,821,2024-25
"Jose Alvarado",NOP,27,56,24.4,-8.7,108.4,117.1,0.193,0.523,0.278,0.09,99.89,2849,2024-25
"Josh Christopher",MIA,23,14,5,-2.5,105.7,108.2,0.235,0.416,0.145,0.063,109.7,158,2024-25
"Josh Giddey",CHI,22,70,30.2,-1.4,113.1,114.4,0.214,0.57,0.322,0.13,104.47,4605,2024-25
"Josh Green",CHA,24,68,27.8,-8.9,105.3,114.2,0.115,0.559,0.081,0.043,100.08,3929,2024-25
"Josh Hart",NYK,30,77,37.6,3.6,117.9,114.3,0.151,0.611,0.206,0.119,97.79,5898,2024-25
"Josh Minott",MIN,22,46,6,-3,104,107,0.16,0.605,0.096,0.095,104.77,604,2024-25
"Josh Okogie",CHA,26,40,15.6,-0.5,108.8,109.3,0.185,0.567,0.082,0.1,98.69,1282,2024-25
"Josh Richardson",MIA,31,8,18.7,-10.6,104.1,114.7,0.134,0.402,0.117,0.015,100.82,315,2024-25
"Jrue Holiday",BOS,35,62,30.6,8.9,116.6,107.7,0.156,0.565,0.174,0.088,99.38,3921,2024-25
"Julian Champagnie",SAS,24,82,23.6,-2.1,112.3,114.5,0.164,0.577,0.078,0.079,102.25,4125,2024-25
"Julian Phillips",CHI,21,79,14.2,1.8,112.9,111.1,0.126,0.571,0.045,0.055,104,2427,2024-25
"Julian Strawther",DEN,23,65,21.3,-2.5,111.9,114.4,0.173,0.559,0.082,0.057,102.79,2964,2024-25
"Julius Randle",MIN,30,69,32.3,3.4,115,111.6,0.246,0.593,0.228,0.124,98.45,4569,2024-25
"Justin Champagnie",WAS,24,62,21.6,-9.7,107.1,116.8,0.15,0.614,0.066,0.101,102.96,2871,2024-25
"Justin Edwards",PHI,21,44,26.2,-11.6,111.6,123.2,0.165,0.559,0.084,0.062,99.43,2391,2024-25
"Justin Minaya",POR,26,19,5.3,-6.9,95,101.9,0.107,0.411,0.108,0.02,103.22,218,2024-25
"Jusuf Nurkić",CHA,30,51,20.8,-9,106.1,115.1,0.202,0.555,0.167,0.116,99.79,2216,2024-25
"KJ Martin",UTA,24,43,21.2,-8.1,109.3,117.4,0.112,0.618,0.074,0.061,100.63,1917,2024-25
"KJ Simpson",CHA,22,36,23.4,-15.4,101,116.4,0.188,0.437,0.21,0.06,99.1,1734,2024-25
"Kai Jones",DAL,24,40,11.7,-2.3,107,109.2,0.128,0.804,0.08,0.131,99.77,974,2024-25
"Karl-Anthony Towns",NYK,29,72,35,6.8,119.4,112.7,0.265,0.63,0.13,0.161,99.25,5215,2024-25
"Karlo Matković",NOP,24,42,18.8,-4.7,109.4,114.1,0.155,0.639,0.083,0.096,101.91,1674,2024-25
"Kawhi Leonard",LAC,34,37,31.9,12.4,120.3,107.9,0.28,0.589,0.147,0.134,97.26,2391,2024-25
"Keaton Wallace",ATL,26,31,16.2,-2.2,106.2,108.4,0.164,0.503,0.224,0.074,102.77,1075,2024-25
"Keegan Murray",SAC,24,76,34.3,1.5,114.8,113.4,0.148,0.553,0.055,0.075,100.09,5428,2024-25
